model,type,recall_score,precision_score,f1_score,accuracy
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-DecisionTreeClassifier()-[recall_score, precision_score, f1_score]",eval,0.6251028806584361,0.8759259259259259,0.7041274684295279,0.87
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-DecisionTreeClassifier()-[recall_score, precision_score, f1_score]",train,0.5393724759686281,0.7274333341784648,0.5724916506820533,0.8507190601579907
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-DecisionTreeClassifier()-[recall_score, precision_score, f1_score]",extra feature eval,0.718312757201646,0.699665327978581,0.704004817825956,0.86
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-DecisionTreeClassifier()-[recall_score, precision_score, f1_score]",extra feature train,0.562157913515824,0.6021157708694228,0.5792630090448081,0.8124367024508811
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-LinearSVC()-[recall_score, precision_score, f1_score]",eval,0.454320987654321,0.5111111111111111,0.4707602339181287,0.84
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-LinearSVC()-[recall_score, precision_score, f1_score]",train,0.5263462476186294,0.7320332454487879,0.5468268144364904,0.8490986429005469
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-LinearSVC()-[recall_score, precision_score, f1_score]",extra feature eval,0.454320987654321,0.5111111111111111,0.4707602339181287,0.84
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-LinearSVC()-[recall_score, precision_score, f1_score]",extra feature train,0.5528412973940452,0.7646770535198142,0.5869586347649842,0.8533522382013369
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-MLPClassifier(hidden_layer_sizes=(20, 8))-[recall_score, precision_score, f1_score]",eval,0.537280701754386,0.5618686868686869,0.5429732868757259,0.85
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-MLPClassifier(hidden_layer_sizes=(20, 8))-[recall_score, precision_score, f1_score]",train,0.518021263777881,0.775532698276351,0.551519595439189,0.844034838971035
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-MLPClassifier(hidden_layer_sizes=(20, 8))-[recall_score, precision_score, f1_score]",extra feature eval,0.6535087719298246,0.8646012621916236,0.7101200686106345,0.86
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-MLPClassifier(hidden_layer_sizes=(20, 8))-[recall_score, precision_score, f1_score]",extra feature train,0.5816606861377481,0.7471139946115785,0.6267750424861165,0.8529471338869759
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-MLPClassifier(hidden_layer_sizes=(60, 20, 8))-[recall_score, precision_score, f1_score]",eval,0.537280701754386,0.5618686868686869,0.5429732868757259,0.85
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-MLPClassifier(hidden_layer_sizes=(60, 20, 8))-[recall_score, precision_score, f1_score]",train,0.518521551837587,0.787635647269645,0.5529385553358405,0.844034838971035
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-MLPClassifier(hidden_layer_sizes=(60, 20, 8))-[recall_score, precision_score, f1_score]",extra feature eval,0.6995614035087719,0.9008130081300812,0.7521189848670454,0.89
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-MLPClassifier(hidden_layer_sizes=(60, 20, 8))-[recall_score, precision_score, f1_score]",extra feature train,0.5713122216275812,0.7265407991614469,0.6105760643070471,0.8484909864290054
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-MultinomialNB()-[recall_score, precision_score, f1_score]",eval,0.454320987654321,0.5111111111111111,0.4707602339181287,0.84
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-MultinomialNB()-[recall_score, precision_score, f1_score]",train,0.5581257534461023,0.7481457597275946,0.6012072800252931,0.8505165080008102
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-MultinomialNB()-[recall_score, precision_score, f1_score]",extra feature eval,0.5253086419753087,0.5740310077519379,0.5427345309381238,0.82
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-MultinomialNB()-[recall_score, precision_score, f1_score]",extra feature train,0.615947969605481,0.7234653723356815,0.6563065113990032,0.8488960907433665
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(kernel='poly', nu=0.1)-[recall_score, precision_score, f1_score]",eval,0.345679012345679,0.38652482269503546,0.11555264307557885,0.18
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(kernel='poly', nu=0.1)-[recall_score, precision_score, f1_score]",train,0.33837637061139697,0.36176672727690523,0.11499674260835901,0.18128418067652421
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(kernel='poly', nu=0.1)-[recall_score, precision_score, f1_score]",extra feature eval,0.6707818930041153,0.5416811796122142,0.474749929785901,0.64
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(kernel='poly', nu=0.1)-[recall_score, precision_score, f1_score]",extra feature train,0.5321438909596412,0.5351149105522369,0.4489963703078761,0.5724123961920194
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(kernel='sigmoid', nu=0.1)-[recall_score, precision_score, f1_score]",eval,0.42880658436213986,0.5153256704980843,0.1775724275724276,0.14
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(kernel='sigmoid', nu=0.1)-[recall_score, precision_score, f1_score]",train,0.3987066631882876,0.4138550107258793,0.1860153773905496,0.15839578691513065
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(kernel='sigmoid', nu=0.1)-[recall_score, precision_score, f1_score]",extra feature eval,0.35555555555555557,0.18027210884353742,0.065359477124183,0.05
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(kernel='sigmoid', nu=0.1)-[recall_score, precision_score, f1_score]",extra feature train,0.33058396874350865,0.05728050578276265,0.043317230273752005,0.06137330362568361
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(nu=0.1)-[recall_score, precision_score, f1_score]",eval,0.41831275720164607,0.5448717948717948,0.4277845777233782,0.56
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(nu=0.1)-[recall_score, precision_score, f1_score]",train,0.5348701035283249,0.6026606215490762,0.4887828276422241,0.5357504557423537
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(nu=0.1)-[recall_score, precision_score, f1_score]",extra feature eval,0.4265432098765432,0.4478653530377668,0.40336868436285456,0.58
"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(nu=0.1)-[recall_score, precision_score, f1_score]",extra feature train,0.46984566857553006,0.4119667307296247,0.3936541134051394,0.5114441968806968
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-DecisionTreeClassifier()-[recall_score, precision_score, f1_score]",eval,0.5333333333333333,0.7055555555555556,0.5725490196078432,0.85
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-DecisionTreeClassifier()-[recall_score, precision_score, f1_score]",train,0.5450621643179835,0.7171837516985163,0.5815376865990363,0.8588211464452097
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-DecisionTreeClassifier()-[recall_score, precision_score, f1_score]",extra feature eval,0.4585964912280702,0.5329651941097725,0.4731766124171188,0.74
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-DecisionTreeClassifier()-[recall_score, precision_score, f1_score]",extra feature train,0.588096147246053,0.6188384608418751,0.6012133135562572,0.8195260279521976
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-LinearSVC()-[recall_score, precision_score, f1_score]",eval,0.5416666666666666,0.5656565656565656,0.5470383275261325,0.86
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-LinearSVC()-[recall_score, precision_score, f1_score]",train,0.5119074231670191,0.765377144117871,0.5383543891542379,0.8456552562284788
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-LinearSVC()-[recall_score, precision_score, f1_score]",extra feature eval,0.5833333333333334,0.9022988505747126,0.6230077579770832,0.87
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-LinearSVC()-[recall_score, precision_score, f1_score]",extra feature train,0.5297843354009294,0.7501127359299015,0.5653957017310892,0.8484909864290054
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MLPClassifier(hidden_layer_sizes=(20, 8))-[recall_score, precision_score, f1_score]",eval,0.516753536857781,0.5942180424939045,0.5433161216293746,0.86
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MLPClassifier(hidden_layer_sizes=(20, 8))-[recall_score, precision_score, f1_score]",train,0.5425351782943605,0.7728715505664709,0.5872129619826543,0.8545675511444197
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MLPClassifier(hidden_layer_sizes=(20, 8))-[recall_score, precision_score, f1_score]",extra feature eval,0.5008210180623974,0.4666666666666666,0.4828625235404897,0.85
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MLPClassifier(hidden_layer_sizes=(20, 8))-[recall_score, precision_score, f1_score]",extra feature train,0.6091855439761643,0.7356750042772973,0.641173301695896,0.8657079197893458
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MLPClassifier(hidden_layer_sizes=(60, 20, 8))-[recall_score, precision_score, f1_score]",eval,0.48484848484848486,0.6210526315789474,0.5171845574387947,0.87
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MLPClassifier(hidden_layer_sizes=(60, 20, 8))-[recall_score, precision_score, f1_score]",train,0.5316475055613524,0.7471812977229325,0.5649736030690247,0.852136925258254
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MLPClassifier(hidden_layer_sizes=(60, 20, 8))-[recall_score, precision_score, f1_score]",extra feature eval,0.6031746031746031,0.8003663003663003,0.6688624338624338,0.89
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MLPClassifier(hidden_layer_sizes=(60, 20, 8))-[recall_score, precision_score, f1_score]",extra feature train,0.6063629505626281,0.7307834984950389,0.6485244235714173,0.8588211464452097
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MultinomialNB()-[recall_score, precision_score, f1_score]",eval,0.625,0.9056847545219638,0.684185773074662,0.88
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MultinomialNB()-[recall_score, precision_score, f1_score]",train,0.5192874104748452,0.7359917590698463,0.5522084290103128,0.8462629127000203
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MultinomialNB()-[recall_score, precision_score, f1_score]",extra feature eval,0.724780701754386,0.8734270414993306,0.7814983758379985,0.9
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MultinomialNB()-[recall_score, precision_score, f1_score]",extra feature train,0.5942074117616094,0.7121701436451967,0.6368963710904295,0.8426169738707717
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(kernel='poly', nu=0.1)-[recall_score, precision_score, f1_score]",eval,0.3888888888888889,0.19858156028368792,0.14158576051779936,0.12
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(kernel='poly', nu=0.1)-[recall_score, precision_score, f1_score]",train,0.4092705068215274,0.37706317586795673,0.14785500673886273,0.0972250354466275
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(kernel='poly', nu=0.1)-[recall_score, precision_score, f1_score]",extra feature eval,0.5197368421052632,0.5138888888888888,0.38045634920634924,0.44
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(kernel='poly', nu=0.1)-[recall_score, precision_score, f1_score]",extra feature train,0.46004012364633873,0.5228516540049515,0.3468909057457345,0.39720478023090944
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(kernel='sigmoid', nu=0.1)-[recall_score, precision_score, f1_score]",eval,0.08333333333333333,0.1623931623931624,0.11014492753623188,0.19
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(kernel='sigmoid', nu=0.1)-[recall_score, precision_score, f1_score]",train,0.12442212590987385,0.18922576321539664,0.14061050126354213,0.22037674701235568
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(kernel='sigmoid', nu=0.1)-[recall_score, precision_score, f1_score]",extra feature eval,0.3190789473684211,0.3120851370851371,0.1554226818932701,0.18
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(kernel='sigmoid', nu=0.1)-[recall_score, precision_score, f1_score]",extra feature train,0.3491864725992344,0.35177926176581953,0.18723477684288573,0.21592059955438525
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(nu=0.1)-[recall_score, precision_score, f1_score]",eval,0.5767543859649122,0.6496031746031746,0.4966965695484576,0.58
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(nu=0.1)-[recall_score, precision_score, f1_score]",train,0.4895341036371559,0.6258569551643217,0.4613575856778051,0.5807170346364189
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(nu=0.1)-[recall_score, precision_score, f1_score]",extra feature eval,0.6087301587301588,0.4795093795093795,0.5044444444444444,0.7
"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(nu=0.1)-[recall_score, precision_score, f1_score]",extra feature train,0.5300439948747476,0.4619176390201916,0.45961937578211903,0.6054283978124367
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-DecisionTreeClassifier()-[recall_score, precision_score, f1_score]",eval,0.5519323671497585,0.658612580834803,0.5852067452067452,0.77
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-DecisionTreeClassifier()-[recall_score, precision_score, f1_score]",train,0.551071466696026,0.6693891705323392,0.5910374709769249,0.8288434271824995
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-DecisionTreeClassifier()-[recall_score, precision_score, f1_score]",extra feature eval,0.5570175438596491,0.5936213991769547,0.5678492340707257,0.81
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-DecisionTreeClassifier()-[recall_score, precision_score, f1_score]",extra feature train,0.5677688349227705,0.6060647338672402,0.5841982220340549,0.8185132671662954
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-LinearSVC()-[recall_score, precision_score, f1_score]",eval,0.5859920070446386,0.7222222222222223,0.6316245344420109,0.82
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-LinearSVC()-[recall_score, precision_score, f1_score]",train,0.5529049801279938,0.7533613607969308,0.5987888002616719,0.8497062993720883
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-LinearSVC()-[recall_score, precision_score, f1_score]",extra feature eval,0.5111512959614225,0.551310861423221,0.5238095238095237,0.84
"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-LinearSVC()-[recall_score, precision_score, f1_score]",extra feature train,0.5506692603762684,0.7941670650085376,0.5981463361912436,0.8531496860441564
