,model
0,"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-DecisionTreeClassifier()-[recall_score, precision_score, f1_score]"
1,"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-LinearSVC()-[recall_score, precision_score, f1_score]"
2,"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-MLPClassifier(hidden_layer_sizes=(20, 8))-[recall_score, precision_score, f1_score]"
3,"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-MLPClassifier(hidden_layer_sizes=(60, 20, 8))-[recall_score, precision_score, f1_score]"
4,"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-MultinomialNB()-[recall_score, precision_score, f1_score]"
5,"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(kernel='poly', nu=0.1)-[recall_score, precision_score, f1_score]"
6,"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(kernel='sigmoid', nu=0.1)-[recall_score, precision_score, f1_score]"
7,"CountVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(nu=0.1)-[recall_score, precision_score, f1_score]"
8,"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-DecisionTreeClassifier()-[recall_score, precision_score, f1_score]"
9,"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-LinearSVC()-[recall_score, precision_score, f1_score]"
10,"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MLPClassifier(hidden_layer_sizes=(20, 8))-[recall_score, precision_score, f1_score]"
11,"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MLPClassifier(hidden_layer_sizes=(60, 20, 8))-[recall_score, precision_score, f1_score]"
12,"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MultinomialNB()-[recall_score, precision_score, f1_score]"
13,"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(kernel='poly', nu=0.1)-[recall_score, precision_score, f1_score]"
14,"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(kernel='sigmoid', nu=0.1)-[recall_score, precision_score, f1_score]"
15,"CountVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(nu=0.1)-[recall_score, precision_score, f1_score]"
16,"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-DecisionTreeClassifier()-[recall_score, precision_score, f1_score]"
17,"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-LinearSVC()-[recall_score, precision_score, f1_score]"
18,"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-MLPClassifier(hidden_layer_sizes=(20, 8))-[recall_score, precision_score, f1_score]"
19,"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-MLPClassifier(hidden_layer_sizes=(60, 20, 8))-[recall_score, precision_score, f1_score]"
20,"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-MultinomialNB()-[recall_score, precision_score, f1_score]"
21,"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(kernel='poly', nu=0.1)-[recall_score, precision_score, f1_score]"
22,"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(kernel='sigmoid', nu=0.1)-[recall_score, precision_score, f1_score]"
23,"TfidfVectorizer()-SelectKBest(k=20, score_func=chi2)-NuSVC(nu=0.1)-[recall_score, precision_score, f1_score]"
24,"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-DecisionTreeClassifier()-[recall_score, precision_score, f1_score]"
25,"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-LinearSVC()-[recall_score, precision_score, f1_score]"
26,"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MLPClassifier(hidden_layer_sizes=(20, 8))-[recall_score, precision_score, f1_score]"
27,"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MLPClassifier(hidden_layer_sizes=(60, 20, 8))-[recall_score, precision_score, f1_score]"
28,"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-MultinomialNB()-[recall_score, precision_score, f1_score]"
29,"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(kernel='poly', nu=0.1)-[recall_score, precision_score, f1_score]"
30,"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(kernel='sigmoid', nu=0.1)-[recall_score, precision_score, f1_score]"
31,"TfidfVectorizer()-SelectKBest(k=20, score_func=mutual_info_classif)-NuSVC(nu=0.1)-[recall_score, precision_score, f1_score]"
